date,target_bitcoin_change_volatility_next
2022-07-13,-21.62008580123984
2022-07-14,0.4167594278117192
2022-07-15,-0.1486653248005121
2022-07-16,-13.286993357581444
2022-07-17,0.6709567751894019
2022-07-18,-0.2061089333168841
2022-07-19,-6.954859212193842
2022-07-20,0.2186035644371253
2022-07-21,0.0818450201032883
2022-07-22,-1.913915099782004
2022-07-23,-4.664143147358391
2022-07-24,-0.0100185489103621
2022-07-25,6.6428908867405045
2022-07-26,-0.8895445577775773
2022-07-27,9.796705683176388
2022-07-28,0.7918772147232467
2022-07-29,-0.2393579637848475
2022-07-30,-0.5230459900775752
2022-07-31,-1.0752471559550614
2022-08-01,-0.0107576285493071
2022-08-02,0.6746872538555548
2022-08-03,-2.739657737452228
2022-08-04,0.2450879582228449
2022-08-05,0.7165675945833172
2022-08-06,-3.503777644554462
2022-08-07,0.0848805091124393
2022-08-08,0.9014684901953008
2022-08-09,-0.8497944987530093
2022-08-10,-2.7712034423939547
2022-08-11,-2.925291518901396
2022-08-12,-2.693183012615985
2022-08-13,-0.2270874188652683
2022-08-14,0.0842756857948545
2022-08-15,0.0089668261292308
2022-08-16,-0.7530688831347776
2022-08-17,-11.66694430607398
2022-08-18,-4.182890386133797
2022-08-19,28.520688267901527
2022-08-20,0.5259884829446726
2022-08-21,0.1611078263402232
2022-08-22,-0.1191132967151342
2022-08-23,-0.0100713681489561
2022-08-24,-5.762525461143941
2022-08-25,0.1005821855664557
2022-08-26,-4.693980046046208
2022-08-27,-4.340699213078613
2022-08-28,0.5214546759731986
2022-08-29,3.772649705986897
2022-08-30,0.713630291335221
2022-08-31,0.6693293004896184
2022-09-01,-0.0490577205157216
2022-09-02,0.0215550260408425
2022-09-03,-0.0419722551644352
2022-09-04,-2.1196233497758565
2022-09-05,-0.1599771612180722
2022-09-06,3.927820118222636
2022-09-07,-0.4424021508588338
2022-09-08,-0.7831873728347261
2022-09-09,19.253327337439032
2022-09-10,0.4399859935051653
2022-09-11,-0.6442905045585201
2022-09-12,1.397807928139283
2022-09-13,12.098848410116858
2022-09-14,0.009207664238886
2022-09-15,0.4929696885406454
2022-09-16,-0.2401413985652412
2022-09-17,0.6183132622055831
2022-09-18,-11.699682023864687
2022-09-19,-0.2761779786264795
2022-09-20,0.7468345492133821
2022-09-21,0.2761821396462416
2022-09-22,3.4332364209079147
2022-09-23,-0.0015452371531776
2022-09-24,0.0571594266725039
2022-09-25,-5.16985390585779
2022-09-26,0.761131429181483
2022-09-27,-0.5884630988101214
2022-09-28,-1.4380519948654635
2022-09-29,-0.8011510049739989
2022-09-30,-0.2186984435642136
2022-10-01,-0.0015184032522541
2022-10-02,0.1847237554544856
2022-10-03,1.459441815544782
2022-10-04,1.854017531157237
2022-10-05,-0.0017499621285277
2022-10-06,-3.868856855604608
2022-10-07,-0.0499471164820075
2022-10-08,0.0738616533437097
2022-10-09,-18.647064838544303
2022-10-10,-0.3932422879053932
2022-10-11,-0.172529757167239
2022-10-12,-2.296653025111206
2022-10-13,-25.468374320981624
2022-10-14,0.3356603573764882
2022-10-15,-2.969717690915874
2022-10-16,0.5369735159069133
2022-10-17,-0.5381013787076894
2022-10-18,-5.718726932726548
2022-10-19,0.2635419201262978
2022-10-20,-6.379107709178755
2022-10-21,-2.104504011272146
2022-10-22,-14.433385863535245
2022-10-23,2.6810835912884023
2022-10-24,-2.012968684321814
2022-10-25,10.598409986670788
2022-10-26,3.882615445972659
2022-10-27,3.962429869208695
2022-10-28,-0.2166440447151418
2022-10-29,0.289787351770987
2022-10-30,0.1962260588735498
2022-10-31,0.0647588635447116
2022-11-01,-1.5761744804266953
2022-11-02,-3.147487625093825
2022-11-03,-8.81227250646026
2022-11-04,14.447848138040008
2022-11-05,-0.7861689603903432
2022-11-06,-1.0141529308734687
2022-11-07,1.5087042117184923
2022-11-08,54.72537278997971
2022-11-09,47.73672224334955
2022-11-10,12.747132368393643
2022-11-11,0.695034731807187
2022-11-12,-0.1541637350414682
2022-11-13,0.4184683026206892
2022-11-14,0.4055430041897345
2022-11-15,0.1760840834905463
2022-11-16,-0.2866075734809348
2022-11-17,0.0020019821994399
2022-11-18,-0.0005828537030128
2022-11-19,0.0256231893095204
2022-11-20,0.2731617349998494
2022-11-21,0.5344339074669913
2022-11-22,0.3395315411992117
2022-11-23,0.8492288601348319
2022-11-24,-1.6772850305586395
2022-11-25,-1.4664777649048275
2022-11-26,-0.2366200558337916
2022-11-27,-0.4387788448765084
2022-11-28,-0.2985459781190136
2022-11-29,0.4568351038211071
2022-11-30,2.325390225038615
2022-12-01,0.0013190289438247
2022-12-02,0.0607762128314925
2022-12-03,-0.0396673466335872
2022-12-04,-2.1079758215860838
2022-12-05,-0.1734150995334804
2022-12-06,0.0927766830960852
2022-12-07,-0.021102599330236
2022-12-08,-9.372576881988726
2022-12-09,-33.12569572586973
2022-12-10,-31.31033120367285
2022-12-11,-5.588248884829017
2022-12-12,-1.086114595904808
2022-12-13,0.8869592109823632
2022-12-14,-1.1275440713481522
2022-12-15,3.338690234597186
2022-12-16,9.25277929897148
2022-12-17,0.371982419104655
2022-12-18,0.0267780925029992
2022-12-19,1.7420483595474767
2022-12-20,0.4707443695129099
2022-12-21,-5.050266417626414
2022-12-22,-2.90462370422554
2022-12-23,-3.418594786316586
2022-12-24,0.0359077696333365
2022-12-25,-0.1774713767687896
2022-12-26,-0.0206467485397321
2022-12-27,0.9426216557934186
2022-12-28,-0.5887616120998751
2022-12-29,-0.923050262594638
2022-12-30,-12.018205347787648
2022-12-31,-0.870223416796001
2023-01-01,-0.2637338001923894
2023-01-02,-0.6262963529092946
2023-01-03,-1.5244712029885863
2023-01-04,0.4833690910358568
2023-01-05,-0.4014329005770811
2023-01-06,-1.2462351196811827
2023-01-07,-4.504254924304241
2023-01-08,0.3570117918608062
2023-01-09,0.3450472521686398
2023-01-10,1.757629753212897
2023-01-11,5.8797491859541084
2023-01-12,10.801277679675804
2023-01-13,15.42222276550662
2023-01-14,6.044933972639166
2023-01-15,-10.331618483250548
2023-01-16,0.191284134334202
2023-01-17,-0.1762816538578127
2023-01-18,1.03876638707614
2023-01-19,-1.5080713775573409
2023-01-20,19.216921094509765
2023-01-21,-0.2078610287279958
2023-01-22,0.0496985418271922
2023-01-23,-0.1926731709133711
2023-01-24,1.6202777000715596
2023-01-25,0.3274903588451838
2023-01-26,-1.1386315926086077
2023-01-27,-1.3357535046795932
2023-01-28,0.5349793396790758
2023-01-29,0.856113541803194
2023-01-30,8.758874529151184
2023-01-31,-0.1079665261329299
2023-02-01,0.4035583282496979
2023-02-02,1.0950163523167469
2023-02-03,0.4551092964457659
2023-02-04,0.3003126198011463
2023-02-05,2.114889062254899
2023-02-06,0.719466065826424
2023-02-07,0.3922655849841971
2023-02-08,1.5922555049927567
2023-02-09,9.003372415566147
2023-02-10,-0.5089166704483006
2023-02-11,-4.88001020438904
2023-02-12,-6.473982804465206
2023-02-13,-7.740624869539648
2023-02-14,0.876774187304763
2023-02-15,22.695855239191044
2023-02-16,2.363110957845027
2023-02-17,0.9514083706747778
2023-02-18,-0.3833534383276493
2023-02-19,-10.143104028892049
2023-02-20,0.8315671136580383
2023-02-21,0.8331499095384443
2023-02-22,0.2521164086496164
